category,path,line,source
timer_or_ui_cadence,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,254,"furi_timer_start(timerPause, 500);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,265,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,281,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,297,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,313,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,324,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,332,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,363,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,383,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,420,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,436,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
timer_or_ui_cadence,applications/external/avr_isp/avr_isp_app.c,40,view_dispatcher_set_tick_event_callback(
explicit_delay,applications/external/avr_isp/avr_isp_app.c,101,furi_delay_ms(10);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,97,furi_delay_ms(20);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,102,furi_delay_ms(1);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,108,furi_delay_ms(50);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,170,furi_delay_ms(5);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,239,furi_delay_ms(100);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,252,furi_delay_ms(10);
explicit_delay,applications/external/avr_isp/helpers/avr_isp.c,495,furi_delay_ms(10);
unbounded_wait,applications/external/avr_isp/helpers/avr_isp_worker.c,159,"furi_thread_flags_wait(AVR_ISP_WORKER_ALL_EVENTS, FuriFlagWaitAny, FuriWaitForever);"
explicit_delay,applications/external/avr_isp/helpers/avr_isp_worker.c,197,furi_delay_ms(10);
thread_join,applications/external/avr_isp/helpers/avr_isp_worker.c,198,furi_thread_join(prog_thread);
thread_join,applications/external/avr_isp/helpers/avr_isp_worker.c,250,furi_thread_join(instance->thread);
unbounded_wait,applications/external/avr_isp/helpers/avr_isp_worker_rw.c,71,"furi_thread_flags_wait(AVR_ISP_WORKER_ALL_EVENTS, FuriFlagWaitAny, FuriWaitForever);"
thread_join,applications/external/avr_isp/helpers/avr_isp_worker_rw.c,281,furi_thread_join(instance->thread);
unbounded_wait,applications/external/avr_isp/lib/driver/avr_isp_prog.c,106,"furi_stream_buffer_send(instance->stream_tx, &data, sizeof(uint8_t), FuriWaitForever);"
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_prog.c,254,furi_delay_ms(20);
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_prog.c,259,furi_delay_ms(1);
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_prog.c,265,furi_delay_ms(50);
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_prog.c,344,furi_delay_ms(5);
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_prog.c,425,furi_delay_ms(10);
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_spi_sw.c,52,furi_delay_us(instance->speed_wait_time - 1);
explicit_delay,applications/external/avr_isp/lib/driver/avr_isp_spi_sw.c,58,furi_delay_us(instance->speed_wait_time - 1);
timer_or_ui_cadence,applications/external/avr_isp/scenes/avr_isp_scene_success.c,17,"popup_set_timeout(popup, 1500);"
blocking_notification,applications/external/barcode_gen/barcode_app.c,452,"notification_message_block(barcode_notifications, &sequence_display_backlight_enforce_auto);"
unbounded_wait,applications/external/blackjack/blackjack.c,474,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
timer_or_ui_cadence,applications/external/blackjack/blackjack.c,573,"furi_timer_start(timer, furi_kernel_get_tick_frequency() / 25);"
unbounded_wait,applications/external/blackjack/blackjack.c,582,"furi_mutex_acquire(game_state->mutex, FuriWaitForever);"
blocking_notification,applications/external/ble_spam/ble_spam.c,193,"notification_message_block(state->ctx.notification, &blink_sequence);"
blocking_notification,applications/external/ble_spam/ble_spam.c,197,"notification_message_block(state->ctx.notification, &sequence_blink_stop);"
thread_join,applications/external/ble_spam/ble_spam.c,260,furi_thread_join(state->thread);
timer_or_ui_cadence,applications/external/ble_spam/ble_spam.c,501,"furi_timer_start(state->lock_timer, 1000);"
timer_or_ui_cadence,applications/external/ble_spam/ble_spam.c,508,"furi_timer_start(state->lock_timer, 1);"
explicit_delay,applications/external/ble_spam/ble_spam.c,581,furi_delay_ms(10);
blocking_notification,applications/external/ble_spam/ble_spam.c,585,"notification_message_block(state->ctx.notification, &sequence_reset_rgb);"
blocking_notification,applications/external/ble_spam/ble_spam.c,621,"notification_message_block(state->ctx.notification, &sequence_display_backlight_off);"
